/I1/IN (VY=-0.1) X,/I1/IN (VY=-0.1) Y,/I1/IN (VY=-0.08947368) X,/I1/IN (VY=-0.08947368) Y,/I1/IN (VY=-0.07894737) X,/I1/IN (VY=-0.07894737) Y,/I1/IN (VY=-0.06842105) X,/I1/IN (VY=-0.06842105) Y,/I1/IN (VY=-0.05789474) X,/I1/IN (VY=-0.05789474) Y,/I1/IN (VY=-0.04736842) X,/I1/IN (VY=-0.04736842) Y,/I1/IN (VY=-0.03684211) X,/I1/IN (VY=-0.03684211) Y,/I1/IN (VY=-0.01578947) X,/I1/IN (VY=-0.01578947) Y,/I1/IN (VY=-0.005263158) X,/I1/IN (VY=-0.005263158) Y,/I1/IN (VY=0.005263158) X,/I1/IN (VY=0.005263158) Y,/I1/IN (VY=0.01578947) X,/I1/IN (VY=0.01578947) Y,/I1/IN (VY=0.02631579) X,/I1/IN (VY=0.02631579) Y,/I1/IN (VY=0.03684211) X,/I1/IN (VY=0.03684211) Y,/I1/IN (VY=0.04736842) X,/I1/IN (VY=0.04736842) Y,/I1/IN (VY=0.05789474) X,/I1/IN (VY=0.05789474) Y,/I1/IN (VY=0.06842105) X,/I1/IN (VY=0.06842105) Y,/I1/IN (VY=0.07894737) X,/I1/IN (VY=0.07894737) Y,/I1/IN (VY=0.08947368) X,/I1/IN (VY=0.08947368) Y,/I1/IN (VY=0.1) X,/I1/IN (VY=0.1) Y,/I1/IN (VY=-0.02631579) X,/I1/IN (VY=-0.02631579) Y
0,8.090891083866497e-12,0,8.267320706921442e-12,0,8.447796492015974e-12,0,8.62117673744643e-12,0,8.774780730711455e-12,0,8.895756469640267e-12,0,8.97198526187946e-12,0,9.007024140606943e-12,0,8.985949076788618e-12,0,8.947622889344983e-12,0,8.884363851300467e-12,0,8.771572399190141e-12,0,8.562663988633977e-12,0,8.18493916507982e-12,0,7.538418981486463e-12,0,6.529415227905585e-12,0,5.193804493884944e-12,0,3.803922766511779e-12,0,2.68031181186693e-12,0,9.00560345951954e-12
1e-06,8.090908848326668e-12,1e-06,8.26734972284319e-12,1e-06,8.447842436343481e-12,1e-06,8.621028076232387e-12,1e-06,8.774371677355092e-12,1e-06,8.89604666239693e-12,1e-06,8.972002610506115e-12,1e-06,9.007216364922374e-12,1e-06,8.98596726428736e-12,1e-06,8.947646240978961e-12,1e-06,8.884381597546563e-12,1e-06,8.771601567696551e-12,1e-06,8.562685120177635e-12,1e-06,8.184956309972319e-12,1e-06,7.538436186673444e-12,1e-06,6.529432868718997e-12,1e-06,5.193822924932915e-12,1e-06,3.804095086364657e-12,1e-06,2.680329996021775e-12,1e-06,9.005630901769021e-12
3e-06,8.09087522919255e-12,3e-06,8.267315188461668e-12,3e-06,8.447790517963773e-12,3e-06,8.62111813961707e-12,3e-06,8.774640671054753e-12,3e-06,8.895858306333223e-12,3e-06,8.971967930482812e-12,3e-06,9.007068949828288e-12,3e-06,8.985931812763323e-12,3e-06,8.947607829565434e-12,3e-06,8.884346120977156e-12,3e-06,8.771558049530726e-12,3e-06,8.562647078217097e-12,3e-06,8.184920564129094e-12,3e-06,7.538400087638454e-12,3e-06,6.52939609807078e-12,3e-06,5.193785287232367e-12,3e-06,3.803908066605093e-12,3e-06,2.680292075538102e-12,3e-06,9.005590533815532e-12
5.312833731558578e-06,8.09085625323957e-12,5.312833731678878e-06,8.267295145348297e-12,5.312833731806295e-06,8.447754953370564e-12,5.312833731935162e-06,8.621147948038136e-12,5.312833732060926e-06,8.774754586741071e-12,5.312833732182106e-06,8.89570371430487e-12,5.312833732301029e-06,8.971947375226256e-12,5.312833732549419e-06,9.00695398772365e-12,5.312833732683729e-06,8.985911135318844e-12,5.312833732825728e-06,8.947584841277444e-12,5.312833732976683e-06,8.8843252587081e-12,5.312833733137601e-06,8.77153108316163e-12,5.312833733307839e-06,8.562623477609082e-12,5.312833733484018e-06,8.184899137530514e-12,5.31283373365909e-06,7.538377811776111e-12,5.31283373382296e-06,6.529373697504643e-12,5.312833733966056e-06,5.193761643138961e-12,5.312833734082808e-06,3.803777414914131e-12,5.31283373417252e-06,2.680266314282197e-12,5.312833732422277e-06,9.005565072656707e-12
9.938501194675735e-06,8.090831557399497e-12,9.938501195036633e-06,8.267269974819608e-12,9.938501195418884e-06,8.447717969978231e-12,9.938501195805487e-06,8.621114049757573e-12,9.938501196182779e-06,8.774714072648898e-12,9.938501196546319e-06,8.895558949371848e-12,9.938501196903087e-06,8.971926272533049e-12,9.938501197648256e-06,9.006850566404866e-12,9.938501198051186e-06,8.985889126438135e-12,9.938501198477183e-06,8.947560498319651e-12,9.938501198930051e-06,8.884304961799295e-12,9.938501199412802e-06,8.771503701594266e-12,9.938501199923515e-06,8.562601195169357e-12,9.938501200452054e-06,8.184877319561357e-12,9.938501200977268e-06,7.538356291298265e-12,9.93850120146888e-06,6.529348496187701e-12,9.938501201898168e-06,5.193733662250188e-12,9.938501202248423e-06,3.80370564937888e-12,9.938501202517561e-06,2.680233459465255e-12,9.938501197266832e-06,9.005540317421964e-12
1.918983612091005e-05,8.090933231483937e-12,1.918983612175215e-05,8.267381474713092e-12,1.918983612264406e-05,8.44782812455318e-12,1.918983612354613e-05,8.621252276263809e-12,1.918983612442649e-05,8.774872391212564e-12,1.918983612527475e-05,8.895592355113034e-12,1.91898361261072e-05,8.972077801207858e-12,1.918983612784593e-05,9.006942251545415e-12,1.91898361287861e-05,8.98606294818555e-12,1.918983612978009e-05,8.947736385013519e-12,1.918983613083678e-05,8.884480917972049e-12,1.91898361319632e-05,8.771673014804241e-12,1.918983613315487e-05,8.562767064489442e-12,1.918983613438813e-05,8.185036672404394e-12,1.918983613561363e-05,7.538507403138205e-12,1.918983613676072e-05,6.529497610388952e-12,1.918983613776239e-05,5.19387850270403e-12,1.918983613857965e-05,3.803845151893426e-12,1.918983613920764e-05,2.680367816359637e-12,1.918983612695594e-05,9.005694028664927e-12
2.99913409231926e-05,8.092334221152273e-12,2.999126121524335e-05,8.26886791611015e-12,2.999116629199862e-05,8.44939235505803e-12,2.999106683643235e-05,8.622896056991716e-12,2.999096686895856e-05,8.776577046766027e-12,2.999087100365548e-05,8.897335636023252e-12,2.999077606161904e-05,8.973975294505201e-12,2.999061484331465e-05,9.009000033257731e-12,2.999054377291335e-05,8.98824120672558e-12,2.999049025758309e-05,8.949957845279463e-12,2.999044405182858e-05,8.886701302139357e-12,2.99903975693665e-05,8.773834467405476e-12,2.999034658950619e-05,8.564829574821023e-12,2.999028670154304e-05,8.186966862032746e-12,2.999021060063658e-05,7.540291141494408e-12,2.999012554887159e-05,6.531125902473245e-12,2.999003175071351e-05,5.195332635934087e-12,2.998993204443303e-05,3.805100146626768e-12,2.998983980217194e-05,2.681421333146033e-12,2.999069227746959e-05,9.007693522261024e-12
4.803230490541243e-05,8.103146798865311e-12,4.803224266763778e-05,8.280515357325514e-12,4.803220946316101e-05,8.461887812690673e-12,4.803216565054975e-05,8.636283563944721e-12,4.803211968956485e-05,8.790923208307772e-12,4.803205052986396e-05,8.912699015371648e-12,4.803196789131646e-05,8.990600370981159e-12,4.803165113247072e-05,9.028167047119277e-12,4.803146457379197e-05,9.008393063277851e-12,4.8031247832036e-05,8.97060479337764e-12,4.803099045593322e-05,8.907267279410228e-12,4.803068315859311e-05,8.793686127315137e-12,4.803030120020617e-05,8.583331415330715e-12,4.802986484519073e-05,8.203547539939541e-12,4.802938943366495e-05,7.554456818289857e-12,4.802890557807699e-05,6.542314709920705e-12,4.802845006904479e-05,5.202941975296152e-12,4.802803098798733e-05,3.809125487566464e-12,4.802766384899293e-05,2.682742327742623e-12,4.803182600154483e-05,9.025636969976553e-12
6.803230490541243e-05,8.132087856321568e-12,6.803224266763778e-05,8.312217323220285e-12,6.803220946316101e-05,8.49655731164456e-12,6.803216565054974e-05,8.674174494053454e-12,6.803211968956485e-05,8.832399525725683e-12,6.803205052986396e-05,8.958304429594462e-12,6.803196789131646e-05,9.040986174452387e-12,6.803165113247072e-05,9.088213244974259e-12,6.803146457379197e-05,9.071979250825077e-12,6.803124783203599e-05,9.035975559179443e-12,6.803099045593322e-05,8.972302149037312e-12,6.803068315859312e-05,8.856013722865524e-12,6.803030120020617e-05,8.640455107786842e-12,6.802986484519072e-05,8.25300983502927e-12,6.802938943366494e-05,7.59371820840414e-12,6.802890557807698e-05,6.568439238873506e-12,6.802845006904478e-05,5.213640504259228e-12,6.802803098798733e-05,3.805986220817482e-12,6.802766384899294e-05,2.671003049925149e-12,6.803182600154483e-05,9.081039227425317e-12
8.803230490541243e-05,8.177189579427352e-12,8.803224266763777e-05,8.362572108222793e-12,8.803220946316101e-05,8.552673493505488e-12,8.803216565054974e-05,8.736712701718453e-12,8.803211968956485e-05,8.902269216237852e-12,8.803205052986396e-05,9.036665523491934e-12,8.803196789131646e-05,9.129138341365731e-12,8.803165113247072e-05,9.196001179252381e-12,8.803146457379196e-05,9.186856015065317e-12,8.803124783203599e-05,9.154410914010929e-12,8.803099045593322e-05,9.090011654745556e-12,8.803068315859311e-05,8.968166215659465e-12,8.803030120020617e-05,8.741780790962065e-12,8.802986484519072e-05,8.337985362133679e-12,8.802938943366494e-05,7.656256257816853e-12,8.802890557807698e-05,6.601706987245416e-12,8.802845006904478e-05,5.213822167231639e-12,8.802803098798733e-05,3.779877949236569e-12,8.802766384899294e-05,2.632125042905867e-12,8.803182600154483e-05,9.179413378104023e-12
0.0001080323049054124,8.232488477216955e-12,0.0001080322426676378,8.425434649733877e-12,0.000108032209463161,8.623946843287719e-12,0.0001080321656505497,8.817465051052289e-12,0.0001080321196895648,8.99390621807838e-12,0.000108032050529864,9.140997650921732e-12,0.0001080319678913165,9.24811740042307e-12,0.0001080316511324707,9.344219722529147e-12,0.000108031464573792,9.345666313831466e-12,0.000108031247832036,9.318563120810059e-12,0.0001080309904559332,9.253082840974499e-12,0.0001080306831585931,9.122784411639846e-12,0.0001080303012002062,8.879750091261781e-12,0.0001080298648451907,8.450436632758863e-12,0.0001080293894336649,7.733090076309714e-12,0.000108028905578077,6.632149725385164e-12,0.0001080284500690448,5.19429333048247e-12,0.0001080280309879873,3.725874514452962e-12,0.0001080276638489929,2.566751498574514e-12,0.0001080318260015448,9.313622659694386e-12
0.0001280323049054124,8.29311363219634e-12,0.0001280322426676378,8.495500026968521e-12,0.000128032209463161,8.704499399709869e-12,0.0001280321656505497,8.909851237197549e-12,0.0001280321196895649,9.099900897046223e-12,0.000128032050529864,9.262812931497134e-12,0.0001280319678913165,9.388173613060805e-12,0.0001280316511324707,9.520886525977741e-12,0.000128031464573792,9.535722983103988e-12,0.000128031247832036,9.515463363050939e-12,0.0001280309904559332,9.448647540624347e-12,0.0001280306831585931,9.307472116303097e-12,0.0001280303012002062,9.042847108821538e-12,0.0001280298648451907,8.580195552209279e-12,0.0001280293894336649,7.81595018465115e-12,0.000128028905578077,6.654438286096276e-12,0.0001280284500690448,5.1545687010745e-12,0.0001280280309879873,3.649550186087203e-12,0.0001280276638489929,2.48474294972578e-12,0.0001280318260015448,9.472716414139737e-12
0.0001480323049054124,8.356145243760661e-12,0.0001480322426676378,8.569410662672893e-12,0.000148032209463161,8.790447612987384e-12,0.0001480321656505497,9.009310471037705e-12,0.0001480321196895649,9.214784555954948e-12,0.000148032050529864,9.395550074270104e-12,0.0001480319678913165,9.54144027689106e-12,0.0001480316511324707,9.715589194203729e-12,0.000148031464573792,9.745809852152132e-12,0.000148031247832036,9.733550644658568e-12,0.0001480309904559332,9.665251568393742e-12,0.0001480306831585931,9.511340616049567e-12,0.0001480303012002062,9.22133115122042e-12,0.0001480298648451907,8.71935686826387e-12,0.0001480293894336649,7.899565990578657e-12,0.000148028905578077,6.66696933096639e-12,0.0001480284500690448,5.098014224074002e-12,0.0001480280309879873,3.558584030546025e-12,0.0001480276638489929,2.395134668218856e-12,0.0001480318260015448,9.64750006268264e-12
0.0001680323049054124,8.419842750577777e-12,0.0001680322426676378,8.645181251065456e-12,0.000168032209463161,8.879423713338649e-12,0.0001680321656505497,9.112954979867797e-12,0.0001680321196895649,9.335018921605995e-12,0.000168032050529864,9.534780927801575e-12,0.0001680319678913165,9.702350108359357e-12,0.0001680316511324707,9.920540589618762e-12,0.000168031464573792,9.967293262283949e-12,0.000168031247832036,9.963760330330034e-12,0.0001680309904559332,9.893855297583628e-12,0.0001680306831585931,9.725918099115431e-12,0.0001680303012002062,9.407865482355994e-12,0.0001680298648451907,8.862381536194015e-12,0.0001680293894336649,7.980835498192073e-12,0.000168028905578077,6.669850791536748e-12,0.0001680284500690448,5.028730013286481e-12,0.0001680280309879873,3.459485691035435e-12,0.0001680276638489929,2.304007412284593e-12,0.0001680318260015448,9.831267237557549e-12
0.0001880323049054124,8.483116361604806e-12,0.0001880322426676378,8.721587483668654e-12,0.000188032209463161,8.969988179086388e-12,0.0001880321656505497,9.219022873478726e-12,0.0001880321196895649,9.458360914926806e-12,0.000188032050529864,9.677642000242343e-12,0.0001880319678913165,9.867244400693216e-12,0.0001880316511324707,1.01302071429206e-11,0.000188031464573792,1.019388640104244e-11,0.000188031247832036,1.019939213452878e-11,0.0001880309904559332,1.012777922896988e-11,0.0001880306831585931,9.945030825669625e-12,0.0001880303012002062,9.597345107525179e-12,0.0001880298648451907,9.005687386698327e-12,0.0001880293894336649,8.058163984381857e-12,0.000188028905578077,6.663953906601997e-12,0.0001880284500690448,4.950470774606004e-12,0.0001880280309879873,3.357130754763972e-12,0.0001880276638489929,2.215148701673922e-12,0.0001880318260015448,1.001942499772802e-11
0.0002080323049054124,8.545146595157231e-12,0.0002080322426676378,8.797794929581336e-12,0.000208032209463161,9.061210393738095e-12,0.0002080321656505497,9.326389266136041e-12,0.0002080321196895648,9.583398980969873e-12,0.000208032050529864,9.82229710192285e-12,0.0002080319678913165,1.003366855696929e-11,0.0002080316511324707,1.034067535603532e-11,0.000208031464573792,1.042093603627756e-11,0.000208031247832036,1.043531160347656e-11,0.0002080309904559332,1.036185503624052e-11,0.0002080306831585931,1.016403320998692e-11,0.0002080303012002062,9.786090459281137e-12,0.0002080298648451907,9.146959562271933e-12,0.0002080293894336649,8.130807338382791e-12,0.000208028905578077,6.650463386853874e-12,0.0002080284500690448,4.866436352359714e-12,0.0002080280309879873,3.255008626754254e-12,0.0002080276638489929,2.130752231356415e-12,0.0002080318260015448,1.020878097467715e-11
0.0002280323049054124,8.605252840546168e-12,0.0002280322426676378,8.873146948759836e-12,0.000228032209463161,9.152406997720082e-12,0.0002280321656505497,9.434284905978256e-12,0.0002280321196895648,9.70918798793768e-12,0.000228032050529864,9.967504645463222e-12,0.0002280319678913165,1.019999276503339e-11,0.0002280316511324707,1.054908462778337e-11,0.000228031464573792,1.064495293772166e-11,0.000228031247832036,1.066760086349452e-11,0.0002280309904559332,1.059213967727285e-11,0.0002280306831585931,1.037942688104519e-11,0.0002280303012002062,9.971558691079864e-12,0.0002280298648451907,9.28478453735074e-12,0.0002280293894336649,8.198566480910623e-12,0.000228028905578077,6.630655896328539e-12,0.0002280284500690448,4.779204683404483e-12,0.0002280280309879873,3.155530336014526e-12,0.0002280276638489929,2.052049615093572e-12,0.0002280318260015448,1.039708922877422e-11
0.0002480323049054124,8.662787728248794e-12,0.0002480322426676378,8.947096490027142e-12,0.000248032209463161,9.243064130576237e-12,0.0002480321656505497,9.54214844857853e-12,0.0002480321196895649,9.835046511247705e-12,0.000248032050529864,1.011241201670485e-11,0.0002480319678913165,1.036504167248601e-11,0.0002480316511324707,1.07533057091282e-11,0.000248031464573792,1.086323222593033e-11,0.000248031247832036,1.089310791488295e-11,0.0002480309904559332,1.081542016830269e-11,0.0002480306831585931,1.058847794933944e-11,0.0002480303012002062,1.015182578063034e-11,0.0002480298648451907,9.418265749348696e-12,0.0002480293894336649,8.261530212100431e-12,0.000248028905578077,6.605815173279559e-12,0.0002480284500690448,4.690919172081502e-12,0.0002480280309879873,3.060382291643049e-12,0.0002480276638489929,1.979663282547997e-12,0.0002480318260015448,1.058270573509354e-11
0.0002680323049054124,8.717148469796839e-12,0.0002680322426676378,9.019122373503743e-12,0.000268032209463161,9.332707126201798e-12,0.0002680321656505497,9.649520367388614e-12,0.0002680321196895649,9.960465075148409e-12,0.000268032050529864,1.025635288177584e-11,0.0002680319678913165,1.052795587080752e-11,0.0002680316511324707,1.095164088529216e-11,0.000268031464573792,1.107364887657136e-11,0.000268031247832036,1.110937588195113e-11,0.0002680309904559332,1.102921272870179e-11,0.0002680306831585931,1.078906369353026e-11,0.0002680303012002062,1.032556547832803e-11,0.0002680298648451907,9.546868487090235e-12,0.0002680293894336649,8.319980821601811e-12,0.000268028905578077,6.57713752136428e-12,0.0002680284500690448,4.603282857939196e-12,0.0002680280309879873,2.97067668942609e-12,0.0002680276638489929,1.913842642514326e-12,0.0002680318260015448,1.07643928234931e-11
0.0002880323049054124,8.767729140199151e-12,0.0002880322426676378,9.088759752120559e-12,0.000288032209463161,9.420958471149502e-12,0.0002880321656505497,9.756024689445329e-12,0.0002880321196895649,1.008501391313667e-11,0.000288032050529864,1.039881200630586e-11,0.0002880319678913165,1.068802375914528e-11,0.0002880316511324707,1.11427426616132e-11,0.000288031464573792,1.127454892487753e-11,0.000288031247832036,1.131445582925282e-11,0.0002880309904559332,1.123153378275868e-11,0.0002880306831585931,1.097956231398944e-11,0.0002880303012002062,1.049172556404795e-11,0.0002880298648451907,9.670242233850085e-12,0.0002880293894336649,8.374311508316492e-12,0.000288028905578077,6.545749411499051e-12,0.0002880284500690448,4.51773374294258e-12,0.0002880280309879873,2.887183765768075e-12,0.0002880276638489929,1.854612883231068e-12,0.0002880318260015448,1.094117375504028e-11
0.0003080323049054124,8.813970017233328e-12,0.0003080322426676378,9.155547110361969e-12,0.000308032209463161,9.507420772345079e-12,0.0003080321656505497,9.861311690738475e-12,0.0003080321196895649,1.020832971571914e-11,0.000308032050529864,1.053932172602592e-11,0.0003080319678913165,1.084465989201771e-11,0.0003080316511324707,1.132548485931199e-11,0.000308031464573792,1.146463869740304e-11,0.000308031247832036,1.150693940515868e-11,0.0003080309904559332,1.142099403947092e-11,0.0003080306831585931,1.115878812495978e-11,0.0003080303012002062,1.064962186394518e-11,0.0003080298648451907,9.7881729790738e-12,0.0003080293894336649,8.424948034900057e-12,0.000308028905578077,6.512658717613096e-12,0.0003080284500690448,4.435393055318839e-12,0.0003080280309879873,2.810355957199206e-12,0.0003080276638489929,1.801848947519019e-12,0.0003080318260015448,1.111225174512948e-11
0.0003280323049054124,8.855322286434372e-12,0.0003280322426676378,9.219080667884584e-12,0.000328032209463161,9.591787826671955e-12,0.0003280321656505497,9.965091116644912e-12,0.0003280321196895649,1.033007901467856e-11,0.0003280320505298639,1.067748586665747e-11,0.0003280319678913165,1.099732479075442e-11,0.0003280316511324707,1.14990170573411e-11,0.000328031464573792,1.164296783546841e-11,0.000328031247832036,1.168584976763891e-11,0.0003280309904559332,1.159663959610811e-11,0.0003280306831585931,1.132596649187204e-11,0.0003280303012002061,1.079867652722252e-11,0.0003280298648451907,9.900544919048002e-12,0.0003280293894336649,8.472318388415896e-12,0.000328028905578077,6.478802374956511e-12,0.0003280284500690448,4.357233537496822e-12,0.0003280280309879873,2.740490807869816e-12,0.0003280276638489929,1.755349473900921e-12,0.0003280318260015448,1.127695183575161e-11
0.0003480323049054124,8.891305427282646e-12,0.0003480322426676378,9.278950654437072e-12,0.000348032209463161,9.673717261307499e-12,0.0003480321656505497,1.006706187613545e-11,0.0003480321196895649,1.044995649210853e-11,0.0003480320505298639,1.08128953234609e-11,0.0003480319678913165,1.114552412739085e-11,0.0003480316511324707,1.166263850712388e-11,0.000348031464573792,1.180884302879222e-11,0.000348031247832036,1.185066314992532e-11,0.0003480309904559332,1.175802414886616e-11,0.0003480306831585931,1.148064338845763e-11,0.0003480303012002061,1.093854914294812e-11,0.0003480298648451907,1.000730725296468e-11,0.0003480293894336649,8.516807422655683e-12,0.000348028905578077,6.445010348090654e-12,0.0003480284500690448,4.283996153142145e-12,0.0003480280309879873,2.677699020537727e-12,0.0003480276638489929,1.714869264252474e-12,0.0003480318260015448,1.143468031470518e-11
0.0003680323049054124,8.9214668213556e-12,0.0003680322426676378,9.334819531900434e-12,0.000368032209463161,9.752943284145888e-12,0.0003680321656505497,1.016696799012991e-11,0.0003680321196895649,1.056764119190782e-11,0.0003680320505298639,1.094517668844565e-11,0.0003680319678913165,1.128877210510007e-11,0.0003680316511324707,1.181587637598847e-11,0.000368031464573792,1.196185713682353e-11,0.000368031247832036,1.200118173709262e-11,0.0003680309904559332,1.190503070909982e-11,0.0003680306831585931,1.162267939721599e-11,0.0003680303012002061,1.106894920282098e-11,0.0003680298648451907,1.010844937985791e-11,0.0003680293894336649,8.5587489597966e-12,0.000368028905578077,6.412061508485868e-12,0.0003680284500690448,4.216357245905294e-12,0.0003680280309879873,2.622047446123912e-12,0.0003680276638489929,1.680153607750289e-12,0.0003680318260015448,1.158490189797724e-11
0.0003880323049054124,8.94544671566601e-12,0.0003880322426676378,9.386321141184387e-12,0.000388032209463161,9.829143345151332e-12,0.0003880321656505497,1.02645106520355e-11,0.0003880321196895649,1.068282003502618e-11,0.0003880320505298639,1.107389491637177e-11,0.0003880319678913165,1.142657971234902e-11,0.0003880316511324707,1.195834778475961e-11,0.000388031464573792,1.210183075932036e-11,0.000388031247832036,1.21375237833195e-11,0.0003880309904559332,1.20378982504605e-11,0.0003880306831585931,1.175209577903477e-11,0.0003880303012002061,1.118979131456556e-11,0.0003880298648451907,1.020393198538558e-11,0.0003880293894336649,8.598412943577041e-12,0.000388028905578077,6.38064122447994e-12,0.0003880284500690448,4.154815335693249e-12,0.0003880280309879873,2.573492792463608e-12,0.0003880276638489929,1.650955591084073e-12,0.0003880318260015448,1.172713014985981e-11
0.0004080323049054124,8.962980969083075e-12,0.0004080322426676378,9.433144684430699e-12,0.000408032209463161,9.902035926530608e-12,0.0004080321656505497,1.035938894223636e-11,0.0004080321196895649,1.079510829031423e-11,0.0004080320505298639,1.119861828623884e-11,0.0004080319678913165,1.155843526227832e-11,0.0004080316511324707,1.208983303849951e-11,0.000408031464573792,1.222881847186999e-11,0.000408031247832036,1.2259972111135e-11,0.0004080309904559332,1.215703889133066e-11,0.0004080306831585931,1.186910821463971e-11,0.0004080303012002061,1.130100977333235e-11,0.0004080298648451907,1.02936998512319e-11,0.0004080293894336649,8.635999545326479e-12,0.000408028905578077,6.351397389960401e-12,0.0004080284500690448,4.099859512691433e-12,0.0004080280309879873,2.532018238791753e-12,0.0004080276638489929,1.627058320770385e-12,0.0004080318260015448,1.186090423876569e-11
0.0004280323049054124,8.974010252882932e-12,0.0004280322426676378,9.474928540969232e-12,0.000428032209463161,9.971230425692012e-12,0.0004280321656505497,1.045120586965008e-11,0.0004280321196895649,1.090407155176688e-11,0.0004280320505298639,1.131879685045214e-11,0.0004280319678913165,1.168377388057025e-11,0.0004280316511324707,1.221015540827271e-11,0.000428031464573792,1.234300667942905e-11,0.000428031247832036,1.236897684697272e-11,0.0004280309904559332,1.226301290537562e-11,0.0004280306831585931,1.197398452435268e-11,0.0004280303012002061,1.140267082520673e-11,0.0004280298648451907,1.037761026508849e-11,0.0004280293894336649,8.671622447652924e-12,0.000428028905578077,6.324892011094559e-12,0.0004280284500690448,4.051840329445907e-12,0.0004280280309879873,2.497529670159425e-12,0.0004280276638489929,1.608265316404681e-12,0.0004280318260015448,1.19857845072341e-11
