/I1/IN (VY=-0.1) X,/I1/IN (VY=-0.1) Y,/I1/IN (VY=-0.08947368) X,/I1/IN (VY=-0.08947368) Y,/I1/IN (VY=-0.06842105) X,/I1/IN (VY=-0.06842105) Y,/I1/IN (VY=-0.05789474) X,/I1/IN (VY=-0.05789474) Y,/I1/IN (VY=-0.04736842) X,/I1/IN (VY=-0.04736842) Y,/I1/IN (VY=-0.03684211) X,/I1/IN (VY=-0.03684211) Y,/I1/IN (VY=-0.02631579) X,/I1/IN (VY=-0.02631579) Y,/I1/IN (VY=-0.01578947) X,/I1/IN (VY=-0.01578947) Y,/I1/IN (VY=-0.005263158) X,/I1/IN (VY=-0.005263158) Y,/I1/IN (VY=0.005263158) X,/I1/IN (VY=0.005263158) Y,/I1/IN (VY=0.01578947) X,/I1/IN (VY=0.01578947) Y,/I1/IN (VY=0.02631579) X,/I1/IN (VY=0.02631579) Y,/I1/IN (VY=0.03684211) X,/I1/IN (VY=0.03684211) Y,/I1/IN (VY=0.04736842) X,/I1/IN (VY=0.04736842) Y,/I1/IN (VY=0.05789474) X,/I1/IN (VY=0.05789474) Y,/I1/IN (VY=0.06842105) X,/I1/IN (VY=0.06842105) Y,/I1/IN (VY=0.07894737) X,/I1/IN (VY=0.07894737) Y,/I1/IN (VY=0.08947368) X,/I1/IN (VY=0.08947368) Y,/I1/IN (VY=0.1) X,/I1/IN (VY=0.1) Y,/I1/IN (VY=-0.07894737) X,/I1/IN (VY=-0.07894737) Y
0.0002055903834310052,-1.139640369157733e-12,0.0002036461895672788,-1.65534498117298e-13,0.0001958509964551292,1.893055110003399e-12,0.0001897218673581391,2.879287110707642e-12,0.0001848040007797008,3.81874986396296e-12,0.0001777557959384801,4.503638442477732e-12,0.0001731711568862603,5.002178687432383e-12,0.0001769527814359524,5.56771664950556e-12,0.0001782927706010945,5.428195351871573e-12,0.0001794819605918462,4.482960268581851e-12,0.0001822318154388257,2.669386917348255e-12,0.0001869796639226714,-1.183419450398908e-13,0.0001911650276171296,-4.278593385099768e-12,0.0001958024649540016,-1.005298851863171e-11,0.0001980934897078764,-1.75283212013561e-11,0.0001987600799786466,-2.613944306069776e-11,0.0001961022469470389,-3.491535411908454e-11,0.0001903189529642395,-4.290615535981653e-11,0.0001942819471607523,-4.977657804906241e-11,0.0001996886126712767,8.403976271030429e-13
0.0002155903834310052,-1.028162913706259e-12,0.0002136461895672788,-2.165741609157024e-14,0.0002058509964551292,2.130887309926979e-12,0.0001997218673581391,3.176746405651399e-12,0.0001948040007797008,4.186062477561841e-12,0.0001877557959384801,4.948376549750705e-12,0.0001831711568862603,5.531281069915963e-12,0.0001869527814359524,6.186050948615246e-12,0.0001882927706010945,6.117959696278505e-12,0.0001894819605918462,5.195144923534608e-12,0.0001922318154388257,3.350436373848033e-12,0.0001969796639226714,4.769786659751792e-13,0.0002011650276171296,-3.741347127887843e-12,0.0002058024649540016,-9.600824735739808e-12,0.0002080934897078764,-1.720109256686035e-11,0.0002087600799786466,-2.596199514880219e-11,0.0002061022469470389,-3.487548743755739e-11,0.0002003189529642395,-4.297132212550728e-11,0.0002042819471607523,-4.990937984376161e-11,0.0002096886126712767,1.026759976335859e-12
0.0002255903834310052,-9.155516160865063e-13,0.0002236461895672788,1.237073925552652e-13,0.0002158509964551292,2.372053640335861e-12,0.0002097218673581391,3.478686015057851e-12,0.0002048040007797008,4.559021930126881e-12,0.0001977557959384801,5.399937879005835e-12,0.0001931711568862603,6.068286398371133e-12,0.0001969527814359524,6.812677429805329e-12,0.0001982927706010945,6.816283999786489e-12,0.0001994819605918462,5.916649835576794e-12,0.0002022318154388257,4.038255676460533e-12,0.0002069796639226714,1.072443623260321e-12,0.0002111650276171296,-3.214534725887019e-12,0.0002158024649540016,-9.157602150811373e-12,0.0002180934897078764,-1.688120837771224e-11,0.0002187600799786466,-2.578810495372485e-11,0.0002161022469470389,-3.48367495492739e-11,0.0002103189529642394,-4.303617954990475e-11,0.0002142819471607523,-5.004030433765768e-11,0.0002196886126712767,1.21576081447231e-12
0.0002355903834310052,-8.018378664903246e-13,0.0002336461895672788,2.706780710366015e-13,0.0002258509964551292,2.616528019274709e-12,0.0002197218673581391,3.785031787428551e-12,0.0002148040007797008,4.937487583000492e-12,0.0002077557959384801,5.858088210982593e-12,0.0002031711568862603,6.612774815760491e-12,0.0002069527814359524,7.446812289669735e-12,0.0002082927706010945,7.521466092319009e-12,0.0002094819605918462,6.645939444495693e-12,0.0002122318154388257,4.731154792225642e-12,0.0002169796639226714,1.669176948855644e-12,0.0002211650276171296,-2.699292310488194e-12,0.0002258024649540016,-8.725625509776184e-12,0.0002280934897078764,-1.65698516723166e-11,0.0002287600799786466,-2.561750472483329e-11,0.0002261022469470389,-3.479860828968566e-11,0.0002203189529642394,-4.310010850349324e-11,0.0002242819471607523,-5.016873287381415e-11,0.0002296886126712767,1.407073315600558e-12
0.0002455903834310052,-6.874839720269369e-13,0.0002436461895672788,4.191854556220857e-13,0.0002358509964551292,2.864247082824101e-12,0.0002297218673581391,4.095673813714042e-12,0.0002248040007797008,5.321291357122312e-12,0.0002177557959384801,6.322551198515182e-12,0.0002131711568862603,7.164262136655205e-12,0.0002169527814359524,8.087564623446602e-12,0.0002182927706010945,8.232085370370583e-12,0.0002194819605918462,7.38129628753079e-12,0.0002222318154388257,5.427270571316064e-12,0.0002269796639226714,2.265312809271519e-12,0.0002311650276171296,-2.196712097377338e-12,0.0002358024649540016,-8.307309114659803e-12,0.0002380934897078764,-1.62676529799255e-11,0.0002387600799786466,-2.544989193780924e-11,0.0002361022469470389,-3.476050102319028e-11,0.0002303189529642394,-4.316246865604749e-11,0.0002342819471607523,-5.029403896828872e-11,0.0002396886126712767,1.600677943978735e-12
0.0002555903834310052,-5.726369642393767e-13,0.0002536461895672788,5.69183354237612e-13,0.0002458509964551292,3.115114821489067e-12,0.0002397218673581391,4.410482328400855e-12,0.0002348040007797008,5.71023071918822e-12,0.0002277557959384801,6.792999188292385e-12,0.0002231711568862603,7.72219209526672e-12,0.0002269527814359524,8.733923368197418e-12,0.0002282927706010945,8.946655738229321e-12,0.0002294819605918462,8.120818662217082e-12,0.0002322318154388257,6.124566070954873e-12,0.0002369796639226714,2.859019518929962e-12,0.0002411650276171296,-1.707845324623998e-12,0.0002458024649540016,-7.903926949614967e-12,0.0002480934897078764,-1.597471626256639e-11,0.0002487600799786466,-2.528493317092462e-11,0.0002461022469470389,-3.472183797351355e-11,0.0002403189529642394,-4.322260116486032e-11,0.0002442819471607523,-5.041559030979054e-11,0.0002496886126712767,1.796529637664026e-12
0.0002655903834310053,-4.572740941603673e-13,0.0002636461895672788,7.206463068303736e-13,0.0002558509964551292,3.369016797703967e-12,0.0002497218673581391,4.729299665796244e-12,0.0002448040007797008,6.104060615687127e-12,0.0002377557959384801,7.269045000635712e-12,0.0002331711568862603,8.285920290973051e-12,0.0002369527814359524,9.384759546453512e-12,0.0002382927706010945,9.663511037048179e-12,0.0002394819605918462,8.862421074619442e-12,0.0002422318154388257,6.820834163092769e-12,0.0002469796639226714,3.448351246799809e-12,0.0002511650276171296,-1.23370321820378e-12,0.0002558024649540016,-7.515999829154633e-12,0.0002580934897078764,-1.569111073653128e-11,0.0002587600799786466,-2.512226842553438e-11,0.0002561022469470389,-3.468200574585087e-11,0.0002503189529642394,-4.327983130752669e-11,0.0002542819471607523,-5.053275059299241e-11,0.0002596886126712767,1.994549022361678e-12
0.0002755903834310053,-3.414192161588666e-13,0.0002736461895672789,8.73510663383624e-13,0.0002658509964551292,3.625814309822306e-12,0.0002597218673581391,5.051931464959443e-12,0.0002548040007797008,6.50248589256261e-12,0.0002477557959384801,7.750233422396748e-12,0.0002431711568862603,8.85470711055349e-12,0.0002469527814359524,1.003881724093709e-11,0.0002482927706010945,1.038081420909864e-11,0.0002494819605918463,9.603799168164387e-12,0.0002522318154388257,7.513704064927325e-12,0.0002569796639226715,4.031261266990213e-12,0.0002611650276171297,-7.752579634216373e-13,0.0002658024649540016,-7.143900387526644e-12,0.0002680934897078765,-1.541690323572725e-11,0.0002687600799786466,-2.496159073122894e-11,0.0002661022469470389,-3.464037107983518e-11,0.0002603189529642395,-4.333347114545526e-11,0.0002642819471607523,-5.064488125105695e-11,0.0002696886126712767,2.194640311125794e-12
0.0002855903834310053,-2.25120106770366e-13,0.0002836461895672789,1.027700518847613e-12,0.0002758509964551292,3.885337027434265e-12,0.0002697218673581391,5.378140577744272e-12,0.0002648040007797008,6.905153070416752e-12,0.0002577557959384801,8.236031743566555e-12,0.0002531711568862603,9.42770962130655e-12,0.0002569527814359524,1.069470387226376e-11,0.0002582927706010945,1.109656997898415e-11,0.0002594819605918463,1.034139156491396e-11,0.0002622318154388258,8.20065040336675e-12,0.0002669796639226715,4.605603477460374e-12,0.0002711650276171297,-3.342197483634945e-13,0.0002758024649540016,-6.788013050619455e-12,0.0002780934897078765,-1.515213968180412e-11,0.0002787600799786467,-2.480334102946439e-11,0.000276102246947039,-3.459628487325405e-11,0.0002703189529642395,-4.338282224910316e-11,0.0002742819471607524,-5.075134315329799e-11,0.0002796886126712768,2.396686891718315e-12
0.0002955903834310054,-1.084385565565088e-13,0.0002936461895672789,1.183120059985861e-12,0.0002858509964551293,4.147376318501022e-12,0.0002797218673581392,5.707639449803808e-12,0.0002748040007797009,7.311641902826545e-12,0.0002677557959384802,8.725822314110075e-12,0.0002631711568862604,1.000397135479175e-11,0.0002669527814359524,1.135088319299872e-11,0.0002682927706010945,1.180862940589086e-11,0.0002694819605918463,1.107145034843589e-11,0.0002722318154388258,8.879006709999867e-12,0.0002769796639226715,5.169141268321877e-12,0.0002811650276171297,8.653529283728474e-14,0.0002858024649540017,-6.448707387792992e-12,0.0002880934897078765,-1.489684423897349e-11,0.0002887600799786467,-2.46475837239601e-11,0.000286102246947039,-3.454908653312913e-11,0.0002803189529642395,-4.342717857048218e-11,0.0002842819471607524,-5.085149835399107e-11,0.0002896886126712768,2.600543492480518e-12
0.0003055903834310054,8.543091165973393e-15,0.0003036461895672789,1.339645573705549e-12,0.0002958509964551293,4.41167883739517e-12,0.0002897218673581392,6.04008100647726e-12,0.0002848040007797009,7.721453797241316e-12,0.0002777557959384802,9.218891142087382e-12,0.0002731711568862604,1.058240809347269e-11,0.0002769527814359525,1.200562686566123e-11,0.0002782927706010946,1.251469080553742e-11,0.0002794819605918463,1.179076772768046e-11,0.0002822318154388258,9.545981544640912e-12,0.0002869796639226715,5.719560759300624e-12,0.0002911650276171297,4.871828175132642e-13,0.0002958024649540017,-6.126318017043717e-12,0.0002980934897078766,-1.465102393444372e-11,0.0002987600799786467,-2.449394142152128e-11,0.000296102246947039,-3.449810872186852e-11,0.0002903189529642396,-4.346582955266353e-11,0.0002942819471607524,-5.094471199745345e-11,0.0002996886126712768,2.806029876474508e-12
0.0003155903834310054,1.258017907219606e-13,0.000313646189567279,1.497119928406443e-12,0.0003058509964551293,4.677936683315098e-12,0.0002997218673581392,6.375049809256943e-12,0.0002948040007797009,8.134000214329843e-12,0.0002877557959384802,9.714409404063092e-12,0.0002831711568862604,1.116176122493136e-11,0.0002869527814359525,1.265691520497499e-11,0.0002882927706010946,1.321221065133812e-11,0.0002894819605918464,1.249643147067202e-11,0.0002922318154388258,1.019867712540147e-11,0.0002969796639226716,6.254486699537464e-12,0.0003011650276171298,8.703963142544127e-13,0.0003058024649540017,-5.821143324141213e-12,0.0003080934897078766,-1.441467310588802e-11,0.0003087600799786467,-2.434202546575617e-11,0.000306102246947039,-3.444268256398287e-11,0.0003003189529642396,-4.349806436157394e-11,0.0003042819471607524,-5.103035449375993e-11,0.0003096886126712769,3.012924332450542e-12
0.0003255903834310054,2.435765350426582e-13,0.000323646189567279,1.655346944151347e-12,0.0003158509964551294,4.945779289255067e-12,0.0003097218673581392,6.712051839162636e-12,0.0003048040007797009,8.548591329209064e-12,0.0002977557959384802,1.021142234814558e-11,0.0002931711568862604,1.174052573497494e-11,0.0002969527814359525,1.330270915991277e-11,0.0002982927706010946,1.389842124093548e-11,0.0002994819605918464,1.318549312216649e-11,0.0003022318154388259,1.083411106560763e-11,0.0003069796639226716,6.771501026224696e-12,0.0003111650276171298,1.235083256211185e-12,0.0003158024649540017,-5.533445523294355e-12,0.0003180934897078766,-1.418777702155863e-11,0.0003187600799786468,-2.419147191048742e-11,0.0003161022469470391,-3.438214335299289e-11,0.0003103189529642396,-4.35231760094411e-11,0.0003142819471607525,-5.110780407181958e-11,0.0003196886126712769,3.2209567366088e-12
0.0003355903834310055,3.617396892724196e-13,0.000333646189567279,1.81408564242861e-12,0.0003258509964551294,5.214765155622562e-12,0.0003197218673581393,7.050503786493564e-12,0.000314804000779701,8.96442472085852e-12,0.0003077557959384803,1.070876835036714e-11,0.0003031711568862605,1.231715377557859e-11,0.0003069527814359526,1.394087458785005e-11,0.0003082927706010946,1.457061634596048e-11,0.0003094819605918464,1.385488814957675e-11,0.0003122318154388259,1.144924099294923e-11,0.0003169796639226716,7.267728981633437e-12,0.0003211650276171298,1.579802447995974e-12,0.0003258024649540018,-5.263461961198807e-12,0.0003280934897078766,-1.397031803013037e-11,0.0003287600799786468,-2.404192953092498e-11,0.0003261022469470391,-3.43158361748066e-11,0.0003203189529642396,-4.354046330601763e-11,0.0003242819471607525,-5.117644979375978e-11,0.0003296886126712769,3.42980100737537e-12
0.0003455903834310055,4.800530780542722e-13,0.0003436461895672791,1.973044760416784e-12,0.0003358509964551294,5.484373328008588e-12,0.0003297218673581393,7.389722657428602e-12,0.000324804000779701,9.380578863646571e-12,0.0003177557959384803,1.120513782411987e-11,0.0003131711568862605,1.288998208684667e-11,0.0003169527814359526,1.456911333211622e-11,0.0003182927706010947,1.522599567293416e-11,0.0003194819605918464,1.450134934461972e-11,0.0003222318154388259,1.204079796257497e-11,0.0003269796639226716,7.738211495729039e-12,0.0003311650276171298,1.903204842717462e-12,0.0003358024649540018,-5.011402247693322e-12,0.0003380934897078767,-1.376227571518606e-11,0.0003387600799786468,-2.389306309512329e-11,0.0003361022469470391,-3.424315059219087e-11,0.0003303189529642397,-4.354923689627526e-11,0.0003342819471607525,-5.123569508113216e-11,0.0003396886126712769,3.639069299576062e-12
0.0003555903834310055,5.982633050875829e-13,0.0003536461895672791,2.131877822142052e-12,0.0003458509964551294,5.753995411124182e-12,0.0003397218673581393,7.728916064219021e-12,0.000334804000779701,9.795993322975423e-12,0.0003277557959384803,1.169914342638468e-11,0.0003231711568862605,1.345717323683838e-11,0.0003269527814359526,1.518497508305968e-11,0.0003282927706010947,1.586165539060331e-11,0.0003294819605918465,1.512163268212502e-11,0.0003322318154388259,1.260415800694192e-11,0.0003369796639226717,8.178886622492999e-12,0.0003411650276171299,2.204004995758084e-12,0.0003458024649540018,-4.777444459759229e-12,0.0003480934897078767,-1.356362415069572e-11,0.0003487600799786468,-2.374455954592798e-11,0.0003461022469470391,-3.416410743773214e-11,0.0003403189529642397,-4.354882512515276e-11,0.0003442819471607525,-5.128496170936781e-11,0.000349688612671277,3.848306161218565e-12
0.0003655903834310055,7.160651785199981e-13,0.0003636461895672791,2.290179024071284e-12,0.0003558509964551295,6.022928603163087e-12,0.0003497218673581394,8.06717366180847e-12,0.0003448040007797011,1.020940932996922e-11,0.0003377557959384803,1.218923096672113e-11,0.0003331711568862605,1.40167194974013e-11,0.0003369527814359526,1.578586997793323e-11,0.0003382927706010947,1.647461460579991e-11,0.0003394819605918465,1.571261143141763e-11,0.000342231815438826,1.313509118383365e-11,0.0003469796639226717,8.587138062348282e-12,0.0003511650276171299,2.481001889038296e-12,0.0003558024649540018,-4.561732719275707e-12,0.0003580934897078767,-1.337433533334991e-11,0.0003587600799786469,-2.359613340353401e-11,0.0003561022469470392,-3.407863199400658e-11,0.0003503189529642397,-4.353858000896633e-11,0.0003542819471607526,-5.132369422050847e-11,0.000359688612671277,4.056981054650382e-12
0.0003755903834310056,8.331025032051696e-13,0.0003736461895672791,2.447480155881541e-12,0.0003658509964551295,6.290370137437801e-12,0.0003597218673581394,8.403460282262313e-12,0.0003548040007797011,1.061942581191731e-11,0.0003477557959384804,1.267368003895933e-11,0.0003431711568862606,1.456644772213159e-11,0.0003469527814359527,1.636908136457538e-11,0.0003482927706010948,1.706183963088419e-11,0.0003494819605918465,1.627118857320321e-11,0.000352231815438826,1.363030796058576e-11,0.0003569796639226717,8.960951225411832e-12,0.0003611650276171299,2.733093261746071e-12,0.0003658024649540019,-4.364374368889186e-12,0.0003680934897078767,-1.319438053608785e-11,0.0003687600799786469,-2.344752817869127e-11,0.0003661022469470392,-3.398625120534326e-11,0.0003603189529642397,-4.35178834977358e-11,0.0003642819471607526,-5.135136458997506e-11,0.000369688612671277,4.264484819432112e-12
0.0003855903834310056,9.489671044515584e-13,0.0003836461895672792,2.603248742222452e-12,0.0003758509964551295,6.55541347532582e-12,0.0003697218673581394,8.736612487029179e-12,0.0003648040007797011,1.102454080722189e-11,0.0003577557959384804,1.31506035763999e-11,0.0003531711568862606,1.510402675337934e-11,0.0003569527814359527,1.693178322764565e-11,0.0003582927706010948,1.762027002478105e-11,0.0003594819605918466,1.679432272345678e-11,0.000362231815438826,1.408694273927475e-11,0.0003669796639226717,9.298476181108882e-12,0.00037116502761713,2.959298063786658e-12,0.0003758024649540019,-4.185436717808273e-12,0.0003780934897078768,-1.302373005955662e-11,0.0003787600799786469,-2.329852386142743e-11,0.0003761022469470392,-3.388650380808491e-11,0.0003703189529642398,-4.348615381558803e-11,0.0003742819471607526,-5.136747691073495e-11,0.000379688612671277,4.470127030711657e-12
0.0003955903834310056,1.063198660014006e-12,0.0003936461895672792,2.756888267215336e-12,0.0003858509964551295,6.817046483244116e-12,0.0003797218673581394,9.065340364153761e-12,0.0003748040007797011,1.142309243255875e-11,0.0003677557959384804,1.361794967492974e-11,0.0003631711568862606,1.562697267203622e-11,0.0003669527814359527,1.747106234855244e-11,0.0003682927706010948,1.814684738987394e-11,0.0003694819605918466,1.727906535618957e-11,0.0003722207941947428,1.449947164396231e-11,0.0003769796639226718,9.598014580691731e-12,0.00038116502761713,3.158763991722809e-12,0.0003858024649540019,-4.024943768664266e-12,0.0003880934897078768,-1.286235266486007e-11,0.000388760079978647,-2.314894292621055e-11,0.0003861022469470392,-3.37789974992867e-11,0.0003803189529642398,-4.344285158105909e-11,0.0003842819471607526,-5.137157181873922e-11,0.0003896886126712771,4.673134577346553e-12
0.0004055903834310056,1.175285440469486e-12,0.0004036461895672792,2.90773726316432e-12,0.0003958509964551296,7.074151666453188e-12,0.0003897218673581395,9.388219497561283e-12,0.0003848040007797012,1.181325971554356e-11,0.0003777557959384805,1.407350923179799e-11,0.0003731711568862607,1.613266454471873e-11,0.0003769527814359527,1.798394458315213e-11,0.0003782927706010948,1.86385464414976e-11,0.0003794819605918466,1.772259315237997e-11,0.0003821291864455034,1.486079929777795e-11,0.0003869796639226718,9.858081129303402e-12,0.00039116502761713,3.330782976406301e-12,0.000395802464954002,-3.882873329098165e-12,0.0003980934897078768,-1.271021499067639e-11,0.000398760079978647,-2.299865123531657e-11,0.0003961022469470393,-3.366340110840911e-11,0.0003903189529642398,-4.338748538862431e-11,0.0003942819471607527,-5.136323036582259e-11,0.0003996886126712771,4.872651796866381e-12
0.0004155903834310057,1.284665787573584e-12,0.0004136461895672792,3.055070723577754e-12,0.0004058509964551296,7.325507788955682e-12,0.0003997218673581395,9.703693419831055e-12,0.0003948040007797012,1.219308361784578e-11,0.0003877557959384805,1.451492833479075e-11,0.0003831711568862607,1.661836562252464e-11,0.0003869527814359528,1.84674255071454e-11,0.0003882927706010949,1.909240831767025e-11,0.0003894819605918466,1.812223860244531e-11,0.0003919405583706371,1.516877567901329e-11,0.0003969796639226718,1.007734661329827e-11,0.00040116502761713,3.474806083105134e-12,0.000405802464954002,-3.75915700652763e-12,0.0004080934897078768,-1.256728112398476e-11,0.000408760079978647,-2.284755907122896e-11,0.0004061022469470393,-3.353944557264296e-11,0.0004003189529642398,-4.331961654489017e-11,0.0004042819471607527,-5.134207706399388e-11,0.0004096886126712771,5.067742023106814e-12
0.0004255903834310057,1.390730108000097e-12,0.0004236461895672793,3.198102820051251e-12,0.0004158509964551296,7.569794563107572e-12,0.0004097218673581395,1.001005706052257e-11,0.0004048040007797012,1.256047588643502e-11,0.0003977557959384805,1.493972552598225e-11,0.0003931711568862607,1.708124762219492e-11,0.0003969527814359528,1.89185004708962e-11,0.0003982927706010949,1.95055717692204e-11,0.0003994819605918467,1.847551823443575e-11,0.0004016797153009999,1.542399216232874e-11,0.0004069784829321427,1.025334551938585e-11,0.0004111650276171301,3.590452205171974e-12,0.000415802464954002,-3.65367956868179e-12,0.0004180934897078769,-1.243351253069649e-11,0.000418760079978647,-2.26956222054352e-11,0.0004161022469470393,-3.340692712156058e-11,0.0004103189529642399,-4.323886270402208e-11,0.0004142819471607527,-5.130766688450612e-11,0.0004196886126712771,5.257390280587007e-12
0.0004355903834310057,1.492823541818359e-12,0.0004336461895672793,3.335989598678514e-12,0.0004258509964551296,7.805601788185687e-12,0.0004197218673581395,1.030551136507816e-11,0.0004148040007797012,1.291322949258292e-11,0.0004077557959384805,1.534531256770524e-11,0.0004031711568862607,1.751841766755508e-11,0.0004069527814359528,1.933419516102456e-11,0.0004082927706010949,1.98753023535048e-11,0.0004094819605918467,1.878017000938896e-11,0.0004113812993109661,1.562716459577619e-11,0.0004168921135175685,1.038327147234299e-11,0.0004211650276171301,3.677511729649596e-12,0.000425802464954002,-3.566280667345878e-12,0.0004280934897078769,-1.23088685193299e-11,0.0004287600799786471,-2.254284240498652e-11,0.0004261022469470393,-3.326570927504907e-11,0.0004203189529642399,-4.314492809172009e-11,0.0004242819471607528,-5.125872717243484e-11,0.0004296886126712772,5.440506810754766e-12
0.0004455903834310057,1.590279987843434e-12,0.0004436461895672793,3.467831787424708e-12,0.0004358509964551297,8.031433030995327e-12,0.0004297218673581396,1.058817419807532e-11,0.0004248040007797013,1.324903401198963e-11,0.0004177557959384806,1.57290134221806e-11,0.0004131711568862608,1.79269468258262e-11,0.0004169527814359528,1.97115961144442e-11,0.0004182927706010949,2.019901863059765e-11,0.0004194819605918467,1.903205435415011e-11,0.0004210301771614792,1.57779146516731e-11,0.0004266974403299338,1.046745253642443e-11,0.0004311650276171301,3.735945619040104e-12,0.0004358024649540021,-3.496758377088324e-12,0.0004380934897078769,-1.219330734040465e-11,0.0004387600799786471,-2.238927140554732e-11,0.0004361022469470394,-3.311572348349004e-11,0.0004303189529642399,-4.303810992657839e-11,0.0004342819471607528,-5.119426110745211e-11,0.0004396886126712772,5.615931096326261e-12
0.0004555903834310058,1.682857490757653e-12,0.0004536461895672793,3.592677580064448e-12,0.0004458509964551297,8.245707198424131e-12,0.0004397218673581396,1.085606294777209e-11,0.0004348040007797013,1.356549282754654e-11,0.0004277557959384806,1.608808891073426e-11,0.0004231711568862608,1.830389877804655e-11,0.0004269527814359529,2.004787782693978e-11,0.000428292770601095,2.047431463990168e-11,0.0004294819605918467,1.922645445009665e-11,0.0004306304106401264,1.587661044419834e-11,0.0004364530336466938,1.050751814062126e-11,0.0004411650276171301,3.765879904458012e-12,0.0004458024649540021,-3.444874300765588e-12,0.0004480934897078769,-1.208678794545607e-11,0.0004487600799786471,-2.22350051179459e-11,0.0004461022469470394,-3.295696865133011e-11,0.0004403189529642399,-4.291864562003125e-11,0.0004442819471607528,-5.111391974344613e-11,0.0004496886126712772,5.782436082438903e-12
0.0004655903834310058,1.770289334502223e-12,0.0004636461895672794,3.709525213035303e-12,0.0004558509964551297,8.446768617617772e-12,0.0004497218673581396,1.11071202185581e-11,0.0004448040007797013,1.386014087729942e-11,0.0004377557959384806,1.641976092073299e-11,0.0004331711568862608,1.864635719056447e-11,0.0004369527814359529,2.034032756477646e-11,0.000438292770601095,2.069897369909397e-11,0.0004394819605918468,1.936063153925549e-11,0.0004401965841674013,1.592384231923309e-11,0.0004462162820771894,1.050435414634993e-11,0.0004511650276171302,3.76759595535351e-12,0.0004558024649540021,-3.410360025601337e-12,0.000458093489707877,-1.198927235579056e-11,0.0004587600799786471,-2.208018032929761e-11,0.0004561022469470394,-3.278950979037543e-11,0.00045031895296424,-4.278645593591287e-11,0.0004542819471607528,-5.101770579228079e-11,0.0004596886126712772,5.938732372923898e-12
